customer_id,event_name,event_timestamp,device_platform_name,device_make,device_model,description
A1IWF85Y76DUZP,react.lmnt.smart-home.deviceHealth.noticeBanner.view.mobilytics-interaction,2023-01-22 08:10:15.748,iOS,Apple,"iPhone14,2",Alexa Mobile Event
A1IWF85Y76DUZP,react.lmnt.devices-channel.applianceCardClick.mobilytics-interaction,2023-01-22 08:10:18.124,iOS,Apple,"iPhone14,2",Alexa Mobile Event
A1IWF85Y76DUZP,react.lmnt.devices-channel.applianceIngress.mobilytics-interaction,2023-01-22 08:10:18.129,iOS,Apple,"iPhone14,2",Alexa Mobile Event
A1IWF85Y76DUZP,react.lmnt.smart-home.dynamicControlPageView.mobilytics-interaction,2023-01-22 08:10:18.215,iOS,Apple,"iPhone14,2",Alexa Smart Home Networking
A1IWF85Y76DUZP,react.lmnt.smart-home.dynamicControlLinks_CreateARoutine_createARoutine.mobilytics-interaction,2023-01-22 08:10:18.234,iOS,Apple,"iPhone14,2",Alexa Smart Home Networking
A1IWF85Y76DUZP,react.lmnt.smart-home.recommendations.HunchesContentPublisher.load.mobilytics-interaction,2023-01-22 08:10:18.365,iOS,Apple,"iPhone14,2",Alexa Smart Home Mobile App Control
A1IWF85Y76DUZP,react.lmnt.smart-home.recommendations.HunchesContentPublisher.impression.mobilytics-interaction,2023-01-22 08:10:18.366,iOS,Apple,"iPhone14,2",Alexa Smart Home Mobile App Control
A1IWF85Y76DUZP,react.lmnt.smart-home.remoteButtonsAndSwitchesDeviceSettingPage_pageLandOnCount.mobilytics-interaction,2023-01-22 08:10:20.058,iOS,Apple,"iPhone14,2",Alexa Smart Home Networking
A1IWF85Y76DUZP,react.lmnt.smart-home.announcementSettingSectionView.mobilytics-interaction,2023-01-22 08:10:20.058,iOS,Apple,"iPhone14,2",Alexa Smart Home Networking
A1IWF85Y76DUZP,react.lmnt.smart-home.favorites.click.deviceTileOnPress.mobilytics-interaction,2023-01-22 08:10:23.158,iOS,Apple,"iPhone14,2",Alexa Mobile Event
A1IWF85Y76DUZP,react.lmnt.smart-home.cancelClick.mobilytics-interaction,2023-01-22 08:11:39.25,iOS,Apple,"iPhone14,2",Alexa Mobile Event
A1IWF85Y76DUZP,react.lmnt.smart-home.remoteButtonsAndSwitchesDeviceSettingPage_pageLandOnCount.mobilytics-interaction,2023-01-22 08:11:39.332,iOS,Apple,"iPhone14,2",Alexa Smart Home Networking
A1IWF85Y76DUZP,react.lmnt.smart-home.announcementSettingSectionView.mobilytics-interaction,2023-01-22 08:11:39.332,iOS,Apple,"iPhone14,2",Alexa Smart Home Networking
A1IWF85Y76DUZP,Enter,2023-02-01 17:27:05.514,iOS,Apple,"iPhone14,2",Alexa MXBR Frontend
A1IWF85Y76DUZP,alexa-growth-app-only-flag,2023-02-01 17:27:06.844,iOS,Apple,"iPhone14,2",Alexa MXBR Frontend
A1IWF85Y76DUZP,alexa-growth-app-only-flag,2023-02-01 17:27:06.844,iOS,Apple,"iPhone14,2",Alexa Mobile P13N
A1IWF85Y76DUZP,CardClick,2023-02-01 17:27:10.88,iOS,Apple,"iPhone14,2",Alexa MXBR Frontend
A1IWF85Y76DUZP,CardClick,2023-02-01 17:27:10.88,iOS,Apple,"iPhone14,2",Alexa Mobile P13N
A1IWF85Y76DUZP,Exit,2023-02-01 17:27:10.881,iOS,Apple,"iPhone14,2",Alexa MXBR Frontend
A1IWF85Y76DUZP,CardView,2023-02-01 17:27:10.881,iOS,Apple,"iPhone14,2",Alexa Mobile P13N
A1IWF85Y76DUZP,CardView,2023-02-01 17:27:10.881,iOS,Apple,"iPhone14,2",Alexa MXBR Frontend
A1IWF85Y76DUZP,MENU_SETTINGS,2023-02-01 17:28:20.344,iOS,Apple,"iPhone14,2",Alexa Mobile Org Platform Core
A1IWF85Y76DUZP,react.lmnt.devices-channel.nullSpeakerCard.mobilytics-interaction,2023-02-01 17:28:20.445,iOS,Apple,"iPhone14,2",Alexa Mobile Device
A1IWF85Y76DUZP,react.lmnt.devices-channel.nullSpaceCard.mobilytics-interaction,2023-02-01 17:28:20.445,iOS,Apple,"iPhone14,2",Alexa Mobile Device
A1IWF85Y76DUZP,react.lmnt.smart-home.upsellCategoryTileView_THERMOSTAT.mobilytics-interaction,2023-02-01 17:28:20.463,iOS,Apple,"iPhone14,2",Alexa Mobile Event
A1IWF85Y76DUZP,react.lmnt.smart-home.upsellCategoryTileView_SMARTPLUG.mobilytics-interaction,2023-02-01 17:28:20.465,iOS,Apple,"iPhone14,2",Alexa Mobile Event
